treatment,metric,max_deviation,max_deviation_day,resistance,peak_response,t_max_days,return_time_days,elasticity,settling_time_days,overshoot,overshoot_pct,auc_burden,steady_state_error,rise_time_days,final_value,initial_value
hbo_moisture_msc_npwt,wound_closure_pct,100.0,0.0,0.01,100.0,17.5,17.5,5.714285714285714,17.5,100.0,100.0,1048.610975,0.0,14.166666666666666,100.0,0.0
hbo_moisture_msc_npwt,mean_infl_wound,0.808375,1.6666666666666667,1.2370496366166692,0.808375,1.6666666666666667,32.5,0.02487307692307692,34.166666666666664,0.79918733,98.86343961651461,7.996571529166667,0.00918767,,0.00918767,0.0
hbo_moisture_msc_npwt,mean_collagen_wound,1.47933,0.0,0.6759816944157152,1.47933,21.666666666666668,19.166666666666668,0.0771824347826087,20.0,0.0,0.0,30.381221225,,10.000000000000002,1.47933,0.0
hbo_moisture_msc_npwt,mean_perfusion_wound,1.0,0.0,1.0,0.594489,7.5,3.3333333333333335,0.3,30.0,0.497084,49.708400000000005,16.294834249999997,0.5029159999999999,1.6666666666666667,0.497084,0.0
hbo_moisture_msc_npwt,scar_magnitude,1.93235,34.166666666666664,0.5175045928532616,1.93235,34.166666666666664,,,21.666666666666668,0.0,0.0,49.38899300000001,1.93235,,1.93235,0.0
hbo_moisture_msc_npwt,n_neutrophils,11.0,3.3333333333333335,0.09090909090909091,11.0,3.3333333333333335,5.833333333333332,1.8857142857142861,9.166666666666666,11.0,100.0,43.333333333333336,0.0,,0.0,0.0
hbo_moisture_msc_npwt,mean_mmp_wound,0.758656,2.5,1.318120465665598,0.758656,2.5,31.666666666666664,0.023957557894736844,34.166666666666664,0.6662853,87.82442899021426,9.922720291666668,0.0923707,,0.0923707,0.0
hbo_moisture_msc_npwt,mean_fibronectin_wound,0.36046300000000003,34.166666666666664,2.774209835683551,0.471191,5.833333333333333,,,30.833333333333332,0.36046300000000003,76.50040005008584,7.500426249999999,,,0.110728,0.224775
hbo_moisture_npwt,wound_closure_pct,100.0,0.0,0.01,100.0,20.0,20.0,5.0,20.0,100.0,100.0,1149.305525,0.0,16.666666666666668,100.0,0.0
hbo_moisture_npwt,mean_infl_wound,0.850701,2.5,1.1755011455258662,0.850701,2.5,31.666666666666664,0.026864242105263163,34.166666666666664,0.838449,98.55977599650171,9.107947166666664,0.012252,,0.012252,0.0
